iter	Passed	Remaining
0	170	85295
1	182	45493
2	215	35693
3	240	29817
4	262	25951
5	274	22629
6	291	20534
7	316	19464
8	334	18229
9	359	17605
10	368	16359
11	385	15672
12	406	15240
13	420	14582
14	424	13733
15	429	12983
16	438	12453
17	446	11956
18	450	11414
19	456	10949
20	480	10968
21	503	10940
22	520	10799
23	533	10581
24	542	10300
25	567	10353
26	596	10447
27	618	10424
28	634	10311
29	639	10017
30	663	10043
31	672	9829
32	698	9881
33	722	9903
34	737	9794
35	766	9875
36	771	9648
37	785	9546
38	799	9445
39	825	9488
40	852	9540
41	879	9595
42	897	9540
43	911	9445
44	929	9399
45	951	9387
46	964	9299
47	969	9131
48	974	8968
49	1002	9024
50	1031	9084
51	1050	9052
52	1078	9094
53	1096	9056
54	1114	9020
55	1132	8977
56	1141	8871
57	1146	8734
58	1167	8723
59	1193	8749
60	1203	8663
61	1235	8731
62	1265	8780
63	1293	8812
64	1299	8695
65	1325	8719
66	1348	8717
67	1362	8654
68	1371	8566
69	1397	8586
70	1402	8477
71	1431	8506
72	1444	8449
73	1457	8390
74	1466	8308
75	1492	8328
76	1519	8347
77	1524	8248
78	1551	8265
79	1577	8282
80	1605	8302
81	1631	8317
82	1636	8222
83	1645	8148
84	1662	8116
85	1686	8120
86	1695	8049
87	1716	8036
88	1733	8005
89	1758	8012
90	1771	7961
91	1791	7945
92	1816	7950
93	1837	7937
94	1858	7922
95	1863	7841
96	1887	7840
97	1912	7844
98	1943	7872
99	1970	7882
100	1986	7849
101	1994	7784
102	2019	7783
103	2023	7705
104	2048	7704
105	2071	7700
106	2096	7699
107	2124	7711
108	2152	7720
109	2169	7690
110	2194	7691
111	2219	7687
112	2243	7682
113	2251	7624
114	2259	7565
115	2284	7562
116	2296	7518
117	2304	7461
118	2328	7456
119	2355	7457
120	2379	7452
121	2388	7399
122	2414	7401
123	2440	7400
124	2445	7335
125	2471	7337
126	2476	7273
127	2500	7268
128	2509	7215
129	2532	7207
130	2564	7222
131	2581	7196
132	2605	7189
133	2629	7182
134	2642	7143
135	2646	7082
136	2670	7075
137	2694	7069
138	2707	7030
139	2716	6985
140	2742	6983
141	2771	6986
142	2796	6980
143	2821	6975
144	2847	6970
145	2873	6966
146	2897	6958
147	2923	6953
148	2949	6947
149	2969	6928
150	2985	6899
151	3009	6891
152	3034	6882
153	3054	6862
154	3077	6850
155	3102	6841
156	3118	6813
157	3142	6802
158	3166	6791
159	3190	6779
160	3210	6760
161	3239	6758
162	3276	6774
163	3316	6795
164	3352	6805
165	3383	6807
166	3400	6779
167	3432	6782
168	3464	6785
169	3498	6791
170	3530	6792
171	3564	6798
172	3640	6881
173	3680	6895
174	3743	6952
175	3795	6987
176	3840	7008
177	3879	7018
178	3913	7017
179	3944	7012
180	3968	6994
181	3997	6984
182	4020	6965
183	4053	6961
184	4080	6947
185	4107	6934
186	4136	6923
187	4162	6907
188	4187	6890
189	4214	6876
190	4241	6862
191	4267	6846
192	4293	6829
193	4302	6786
194	4310	6742
195	4335	6724
196	4363	6710
197	4388	6693
198	4409	6670
199	4434	6651
200	4459	6633
201	4483	6614
